start_node,end_node,length,bikes per hour,cars per hour
366398306,2022539301,10598.0,2112.0,264.0
366398306,4068031141,21940.0,799.0,62.0
366398306,5778360128,8704.0,2445.0,329.0
366398306,1802527565,15649.0,289.0,38.0
366398306,5057828620,9532.0,1269.0,112.0
366398306,4275271701,13825.0,289.0,38.0
366398306,411926624,7941.0,3527.0,329.0
366398306,366406615,19450.0,799.0,62.0
366398306,2209479552,6485.0,826.0,68.0
366398306,5043145855,2227.0,4142.0,1489.0
366398306,6205235785,1436.0,4654.0,1271.0
366398306,3806810443,12611.0,3951.0,433.0
366398306,676548643,10647.0,3527.0,329.0
366398306,2325332286,18065.0,1916.0,160.0
366398306,676035155,18826.0,799.0,62.0
366398306,1958801416,21921.0,799.0,62.0
366398306,737199274,18148.0,3527.0,225.0
366398306,2621185492,18882.0,3951.0,433.0
366398306,5758130724,8659.0,1269.0,112.0
366398306,5773400692,11184.0,3527.0,329.0
366398306,411917952,8489.0,2703.0,329.0
366398306,4603175867,7522.0,2445.0,329.0
366398306,2036083088,7394.0,3527.0,329.0
366398306,4597283194,8124.0,2445.0,329.0
366398306,411925950,8745.0,3527.0,329.0
366398306,5467207443,7930.0,3527.0,329.0
366398306,5778421275,7940.0,3527.0,329.0
366398306,411926069,7451.0,2445.0,329.0
366398306,411919364,9600.0,3527.0,329.0
366398306,1996654342,7203.0,3527.0,329.0
366398306,2915456724,176.0,1222.0,155.0
366398306,2934599680,984.0,7157.0,733.0
366398306,5467207473,12950.0,3527.0,225.0
366398306,3338165653,12833.0,289.0,38.0
366398306,4650010744,7578.0,3951.0,433.0
366398306,5738265715,9963.0,799.0,62.0
366398306,3178952974,7701.0,3527.0,329.0
366398306,5764789632,8810.0,3951.0,433.0
366398306,3700940984,9302.0,2256.0,216.0
366398306,4597281310,8750.0,3527.0,329.0
366398306,2030639570,12292.0,1916.0,160.0
366398306,5742463935,13340.0,820.0,66.0
366398306,2946995066,22104.0,799.0,62.0
366398306,411926412,7878.0,2445.0,329.0
366398306,3141309629,10787.0,3527.0,329.0
366398306,1769173902,6230.0,3527.0,329.0
366398306,1929546274,1338.0,3738.0,1120.0
366398306,1996655551,9184.0,826.0,68.0
366398306,3342113686,25132.0,799.0,62.0
366398306,4620312299,9326.0,826.0,68.0
366398306,5762825444,11936.0,2445.0,329.0
366398306,1765166516,7916.0,1269.0,112.0
366398306,366414108,25189.0,799.0,62.0
366398306,2937728604,3476.0,842.0,68.0
366398306,5772101044,10204.0,758.0,67.0
